Título,Link,Nodes
Automated Outbound Calls: connect Ultravox AI Agents to Phone Calls with Twilio,https://n8n.io/workflows/7958-automated-outbound-calls-connect-ultravox-ai-agents-to-phone-calls-with-twilio/,5
Auto‑Generate Virtual AI Try‑On Images for WooCommerce with Fal.ai Nano Banana,https://n8n.io/workflows/8022-auto-generate-virtual-ai-try-on-images-for-woocommerce-with-falai-nano-banana/,10
Bulk Lead Email Validation with Google Sheets & Anymail Finder,https://n8n.io/workflows/7693-bulk-lead-email-validation-with-google-sheets-and-anymail-finder/,5
"Create Multi‑Speaker Podcasts with Google Sheets, ElevenLabs v3, and Drive",https://n8n.io/workflows/7883-create-multi-speaker-podcasts-with-google-sheets-elevenlabs-v3-and-drive/,6
AI‑Powered Auto‑Translate Google Slides Presentation to any language with Gemini,https://n8n.io/workflows/6372-ai-powered-auto-translate-google-slides-presentation-to-any-language-with-gemini/,13
Automate Face Swapping for GIFs with Fal.run AI and Google Services,https://n8n.io/workflows/4450-automate-face-swapping-for-gifs-with-falrun-ai-and-google-services/,9
Generate Realistic Sound Effects with CassetteAI and Save to Google Drive,https://n8n.io/workflows/5158-generate-realistic-sound-effects-with-cassetteai-and-save-to-google-drive/,6
Auto‑Generate Platform‑Optimized Social Media Posts from WordPress with Claude & Postiz,https://n8n.io/workflows/7046-auto-generate-platform-optimized-social-media-posts-from-wordpress-with-claude-and-postiz/,9
"Build a Self‑Updating RAG System with OpenAI, Google Gemini, Qdrant and Google Drive",https://n8n.io/workflows/7647-build-a-self-updating-rag-system-with-openai-google-gemini-qdrant-and-google-drive/,16
Organize Gmail Attachments in Google Drive Folders based on sender’s email,https://n8n.io/workflows/6277-organize-gmail-attachments-in-google-drive-folders-based-on-senders-email/,13
"Build a Scalable AI Chatbot with GPT‑4 and Pipedream: Calendly, Gmail Integration",https://n8n.io/workflows/5821-build-a-scalable-ai-chatbot-with-gpt-4-and-pipedream-calendly-gmail-integration/,10
YouTube Comment Sentiment Analysis with Google Gemini AI and Google Sheets,https://n8n.io/workflows/3936-youtube-comment-sentiment-analysis-with-google-gemini-ai-and-google-sheets/,6
AI‑Powered Reservation Reminder Calls for Restaurant with Twilio & Grok‑4,https://n8n.io/workflows/6135-ai-powered-reservation-reminder-calls-for-restaurant-with-twilio-and-grok-4/,5
Automate Meeting Summaries from Fireflies Transcripts with Gemini & Gmail,https://n8n.io/workflows/6587-automate-meeting-summaries-from-fireflies-transcripts-with-gemini-and-gmail/,8
Generate cheap Viral AI Videos to TikTok with Google Veo3 Fast and Postiz,https://n8n.io/workflows/7420-generate-cheap-viral-ai-videos-to-tiktok-with-google-veo3-fast-and-postiz/,7
Auto‑Generate and Auto‑Fill Business Documents with Google Sheets & Gmail,https://n8n.io/workflows/5745-auto-generate-and-auto-fill-business-documents-with-google-sheets-and-gmail/,6
Automate WooCommerce Image Product Background Removal using API and Google Sheet,https://n8n.io/workflows/4488-automate-woocommerce-image-product-background-removal-using-api-and-google-sheet/,5
"Build a RAG System with Automatic Citations using Qdrant, Gemini & OpenAI",https://n8n.io/workflows/5023-build-a-rag-system-with-automatic-citations-using-qdrant-gemini-and-openai/,7
Transform Images into AI Videos with MiniMax Hailuo 02 & upload to YouTube/TikTok,https://n8n.io/workflows/5633-transform-images-into-ai-videos-with-minimax-hailuo-02-and-upload-to-youtube-tiktok/,8
AI‑Powered One‑Click Virtual Fitting Room for WooCommerce/Shopify/Prestashop,https://n8n.io/workflows/5200-ai-powered-one-click-virtual-fitting-room-for-woocommerce-shopify-prestashop/,12
"Transform Images with AI Prompts using FLUX Kontext, Google Sheets and Drive",https://n8n.io/workflows/4916-transform-images-with-ai-prompts-using-flux-kontext-google-sheets-and-drive/,6
Create a Branded AI Chatbot for Websites with Flowise (Multi‑Agent Chatflows),https://n8n.io/workflows/4651-create-a-branded-ai-chatbot-for-websites-with-flowise-multi-agent-chatflows/,10
Automate WordPress Contact Form (CF7) Responses and Classification with Gemini,https://n8n.io/workflows/3472-automate-wordpress-contact-form-cf7-responses-and-classification-with-gemini/,5
Convert Images to 3D Models with Fal AI Trellis and Store in Google Drive,https://n8n.io/workflows/3894-convert-images-to-3d-models-with-fal-ai-trellis-and-store-in-google-drive/,6
Automated Image Optimizer: convert JPG/PNG to WebP with Apyhub and Google Drive,https://n8n.io/workflows/3278-automated-image-optimizer-convert-jpg-png-to-webp-with-apyhub-and-google-drive/,4
Generate multi‑speaker podcast with AI natural‑sounding voices and Google Sheets,https://n8n.io/workflows/2927-generate-multispeaker-podcast-with-ai-natural-sounding-and-google-sheets/,6
AI‑Powered Auto‑Generate Exam Questions and Answers from Google Docs with Gemini,https://n8n.io/workflows/4008-ai-powered-auto-generate-exam-questions-and-answers-from-google-docs-with-gemini/,7
Send SMS via ClickSend API Worldwide without a phone number,https://n8n.io/workflows/3084-send-sms-via-clicksend-api-worldwide-without-a-phone-number/,3
AI Virtual Try‑On automated generation for WooCommerce clothing catalog,https://n8n.io/workflows/2892-ai-virtual-tryon-automated-generation-for-woocommerce-clothing-catalog/,10
Create AI‑Powered Website Chatbot with Langflow Backend and Custom Branding,https://n8n.io/workflows/4645-create-ai-powered-website-chatbot-with-langflow-backend-and-custom-branding/,8
Unique QR‑code coupon assignment and validation for Lead Generation with SuiteCRM,https://n8n.io/workflows/2899-unique-qrcode-coupon-assignment-and-validation-for-lead-generation-with-suitecrm/,9
MFA Multi‑Factor Authentication (Voice call and Email) with ClickSend and SMTP,https://n8n.io/workflows/3142-mfa-multi-factor-authentication-voice-call-and-email-with-clicksend-and-smtp/,5
Send Voice Calls in seconds: Automate Text‑To‑Speech using ClickSend API,https://n8n.io/workflows/3072-send-voice-calls-in-seconds-automate-text-to-speech-using-clicksend-api/,3
Claude 3.7 Sonnet AI Chatbot Agent with Anthropic Web Search and Think Functions,https://n8n.io/workflows/4036-claude-3-7-sonnet-ai-chatbot-agent-with-anthropic-web-search-and-think-functions/,9
AI‑Driven WooCommerce Product Importer from Google Sheet with Yoast SEO meta,https://n8n.io/workflows/3510-ai-driven-woocommerce-product-importer-from-google-sheet-with-yoast-seo-meta/,8
Generate AI‑powered video from image and upload to Google Drive,https://n8n.io/workflows/3088-generate-ai-powered-video-from-image-and-upload-to-google-drive/,8
Drive‑To‑Store Lead Generation with coupon using Google Sheets & SuiteCRM,https://n8n.io/workflows/2890-drive-to-store-lead-generation-with-coupon-with-google-sheets-and-suitecrm/,8
"WooCommerce AI Post‑Sales Chatbot with GPT‑4o, RAG, Google Drive and Telegram",https://n8n.io/workflows/3329-woocommerce-ai-post-sales-chatbot-with-gpt-4o-rag-google-drive-and-telegram/,17
Automated End‑to‑End Fine‑Tuning of OpenAI Models with Google Drive Integration,https://n8n.io/workflows/2781-automated-end-to-end-fine-tuning-of-openai-models-with-google-drive-integration/,8
Dynamic AI Model Router for Query Optimization with OpenRouter,https://n8n.io/workflows/3573-dynamic-ai-model-router-for-query-optimization-with-openrouter/,10
"Build and Update RAG System with Google Drive, Qdrant & Gemini Chat",https://n8n.io/workflows/3432-build-and-update-rag-system-with-google-drive-qdrant-and-gemini-chat/,10
Free YouTube Video Analyzer with AI Summaries & Email Alerts,https://n8n.io/workflows/3441-free-youtube-video-analyzer-with-ai-summaries-and-email-alerts/,8
Modular & Customizable AI‑Powered Email Routing (e‑commerce classifier),https://n8n.io/workflows/3343-modular-and-customizable-ai-powered-email-routing-for-e-commerce/,7
AI Orchestrator: selects models based on input type (OpenRouter),https://n8n.io/workflows/3425-ai-orchestrator-selects-models-based-on-input-type/,7
Automate WooCommerce SEO with Yoast & AI‑Generated Meta Tags,https://n8n.io/workflows/3345-automate-woocommerce-seo-with-yoast-and-ai-generated-meta-tags/,7
Anthropic AI Agent: Claude Sonnet 4/Opus 4 with Think & Web Search,https://n8n.io/workflows/3459-anthropic-ai-agent-claude-sonnet-4-opus-4-with-think-and-web-search/,8
Search the Web with MCP‑based Brave Search engine on Telegram,https://n8n.io/workflows/3273-search-the-web-with-mcp-based-brave-search-engine-on-telegram/,5
