
Título (derivado),Operações,URL
Getresponse Tool Mcp Server 5 Operations,5,https://n8n.io/workflows/5267-getresponse-tool-mcp-server-5-operations/
Query Bicycle Incident Data With Bikewise Api Through Mcp Server,4,https://n8n.io/workflows/5540-query-bicycle-incident-data-with-bikewise-api-through-mcp-server/
Profitwell Tool Mcp Server Both Operations,2,https://n8n.io/workflows/5092-profitwell-tool-mcp-server-both-operations/
Netlify Tool Mcp Server All 7 Operations,7,https://n8n.io/workflows/5117-netlify-tool-mcp-server-all-7-operations/
Mattermost Tool Mcp Server All 19 Operations,19,https://n8n.io/workflows/5186-mattermost-tool-mcp-server-all-19-operations/
Get Create Upadte Profiles Humantic Ai Tool Mcp Server,3,https://n8n.io/workflows/5240-get-create-upadte-profiles-humantic-ai-tool-mcp-server/
Dropcontact Tool Mcp Server,2,https://n8n.io/workflows/5275-dropcontact-tool-mcp-server/
Ai Agents Can Retrieve Assetts With Contentful Tool Mcp Server,7,https://n8n.io/workflows/5317-ai-agents-can-retrieve-assetts-with-contentful-tool-mcp-server/
Baserow Tool Mcp Server 5 Operations,5,https://n8n.io/workflows/5328-baserow-tool-mcp-server-5-operations/
Autopilot Tool Mcp Server All 11 Operations,11,https://n8n.io/workflows/5331-autopilot-tool-mcp-server-all-11-operations/
Ebay Metadata Api Mcp Server,8,https://n8n.io/workflows/5579-ebay-metadata-api-mcp-server/
Npr Listening Service Mcp Server,7,https://n8n.io/workflows/5650-npr-listening-service-mcp-server/
Handle Certs Venafi Tls Protect Datacenter Tool Mcp Server All 7 Operations,7,https://n8n.io/workflows/5063-handle-certs-venafi-tls-protect-datacenter-tool-mcp-server-all-7-operations/
Expose Travisci Build Operations To Ai Agents With Mcp Server,6,https://n8n.io/workflows/5080-expose-travisci-build-operations-to-ai-agents-with-mcp-server/
Seven Tool Mcp Server With Both Available Operations,6,https://n8n.io/workflows/5088-seven-tool-mcp-server-with-both-available-operations/
Expose File Form And Hook Operations To Ai Agents Kobotoolbox Tool Mcp Server,6,https://n8n.io/workflows/5235-expose-file-form-and-hook-operations-to-ai-agents-kobotoolbox-tool-mcp-server/
Iterable Tool Mcp Server All 6 Operations,6,https://n8n.io/workflows/5239-iterable-tool-mcp-server-all-6-operations/
Emelia Tool Mcp Server All 9 Operations,9,https://n8n.io/workflows/5272-emelia-tool-mcp-server-all-9-operations/
Discourse Tool Mcp Server All 16 Operations,16,https://n8n.io/workflows/5278-discourse-tool-mcp-server-all-16-operations/
Raindrop Tool Mcp Server All 13 Operations,13,https://n8n.io/workflows/5346-raindrop-tool-mcp-server-all-13-operations/
Sendy Tool Mcp Server 6 Operations,6,https://n8n.io/workflows/5347-sendy-tool-mcp-server-6-operations/
Posthog Tool Mcp Server 5 Operations,5,https://n8n.io/workflows/5352-posthog-tool-mcp-server-5-operations/
Expose Ebay Taxonomy Api To Ai Agents For Category Management,22,https://n8n.io/workflows/5565-expose-ebay-taxonomy-api-to-ai-agents-for-category-management/
Epa Clean Water Act Data Access And Compliance Monitoring Api Integration,22,https://n8n.io/workflows/5623-epa-clean-water-act-data-access-and-compliance-monitoring-api-integration/
Connect Ai Agents To Epa Clean Air Act Data With Mcp Integration,22,https://n8n.io/workflows/5624-connect-ai-agents-to-epa-clean-air-act-data-with-mcp-integration/
Star Wars Language Translation Api For Ai Agents 6 Languages,22,https://n8n.io/workflows/5638-star-wars-language-translation-api-for-ai-agents-6-languages/
Twist Tool Mcp Server All 22 Operations,22,https://n8n.io/workflows/5077-twist-tool-mcp-server-all-22-operations/
Plivo Tool Mcp Server All 3 Operations,3,https://n8n.io/workflows/5094-plivo-tool-mcp-server-all-3-operations/
Paddle Tool Mcp Server All 9 Operations,9,https://n8n.io/workflows/5112-paddle-tool-mcp-server-all-9-operations/
Allow Ai Agents To Access User And Workitem Operations Kitemaker Tool Mcp Server,5,https://n8n.io/workflows/5236-allow-ai-agents-to-access-user-and-workitem-operations-kitemaker-tool-mcp-server/
Drift Tool Mcp Server 5 Operations,5,https://n8n.io/workflows/5277-drift-tool-mcp-server-5-operations/
Postbin Tool Mcp Server 6 Operations,6,https://n8n.io/workflows/5351-postbin-tool-mcp-server-6-operations/
Search Manage And Analyze Podcasts With Listen Api For Ai Agents,52,https://n8n.io/workflows/5605-search-manage-and-analyze-podcasts-with-listen-api-for-ai-agents/
Swagger2openapi Converter Mcp Server,52,https://n8n.io/workflows/5646-swagger2openapi-converter-mcp-server/
Monica Crm Tool Mcp Server All 52 Operations,52,https://n8n.io/workflows/5119-monica-crm-tool-mcp-server-all-52-operations/
Mautic Tool Mcp Server All 20 Operations,20,https://n8n.io/workflows/5184-mautic-tool-mcp-server-all-20-operations/
Manage E Goi Contacts With Ai Agents Via Mcp Server,5,https://n8n.io/workflows/5274-manage-e-goi-contacts-with-ai-agents-via-mcp-server/
Demio Tool Mcp Server,5,https://n8n.io/workflows/5280-demio-tool-mcp-server/
Phantombuster Tool Mcp Server 5 Operations,5,https://n8n.io/workflows/5350-phantombuster-tool-mcp-server-5-operations/
Access Co2 Measurement Data With Carbondoomsday Api For Ai Agents,16,https://n8n.io/workflows/5550-access-co2-measurement-data-with-carbondoomsday-api-for-ai-agents/
Expose Ebay Browse Api For Ai Agents With Mcp Server,4,https://n8n.io/workflows/5563-expose-ebay-browse-api-for-ai-agents-with-mcp-server/
Complete Lyft Api Integration For Ai Agents With 16 Operations Using Mcp,16,https://n8n.io/workflows/5606-complete-lyft-api-integration-for-ai-agents-with-16-operations-using-mcp/
Mobility Api Mcp Server,2,https://n8n.io/workflows/5651-mobility-api-mcp-server/
Npr Station Finder Service Mcp Server,2,https://n8n.io/workflows/5654-npr-station-finder-service-mcp-server/
Oura Tool Mcp Server All 4 Operations,4,https://n8n.io/workflows/5113-oura-tool-mcp-server-all-4-operations/
Mocean Tool Mcp Server Both Operations,2,https://n8n.io/workflows/5121-mocean-tool-mcp-server-both-operations/
Matrix Tool Mcp Server All 11 Operations,11,https://n8n.io/workflows/5185-matrix-tool-mcp-server-all-11-operations/
Connect Ai Agents To Ebay Deal Api With Mcp Server,4,https://n8n.io/workflows/5564-connect-ai-agents-to-ebay-deal-api-with-mcp-server/
